Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category,Actual_Protein,Actual_Calories,Actual_Fat,Actual_Sat.Fat,Actual_Fiber,Actual_Carbs
Cows' milk,1 qt.,976,660,32.0,40,36,0.0,48.0,Dairy products,0.03278688524590164,0.6762295081967213,0.040983606557377046,0.036885245901639344,0.0,0.04918032786885246
Milk skim,1 qt.,984,360,36.0,0,0,0.0,52.0,Dairy products,0.036585365853658534,0.36585365853658536,0.0,0.0,0.0,0.052845528455284556
Buttermilk,1 cup,246,127,9.0,5,4,0.0,13.0,Dairy products,0.036585365853658534,0.516260162601626,0.02032520325203252,0.016260162601626018,0.0,0.052845528455284556
Evaporated undiluted,1 cup,252,345,16.0,20,18,0.0,24.0,Dairy products,0.06349206349206349,1.369047619047619,0.07936507936507936,0.07142857142857142,0.0,0.09523809523809523
Fortified milk,6 cups,1419,1373,89.0,42,23,1.4,119.0,Dairy products,0.06272022551092318,0.9675828047921071,0.02959830866807611,0.01620859760394644,0.0009866102889358702,0.08386187455954898
Powdered milk,1 cup,103,515,27.0,28,24,0.0,39.0,Dairy products,0.2621359223300971,5.0,0.27184466019417475,0.23300970873786409,0.0,0.3786407766990291
skim instant,1 1/3 cups,85,290,30.0,0,0,0.0,42.0,Dairy products,0.35294117647058826,3.411764705882353,0.0,0.0,0.0,0.49411764705882355
skim non-instant,2/3 cup,85,290,30.0,0,0,1.0,42.0,Dairy products,0.35294117647058826,3.411764705882353,0.0,0.0,0.011764705882352941,0.49411764705882355
Goats' milk,1 cup,244,165,8.0,10,8,0.0,11.0,Dairy products,0.03278688524590164,0.6762295081967213,0.040983606557377046,0.03278688524590164,0.0,0.045081967213114756
(1/2 cup ice cream),2 cups,540,690,24.0,24,22,0.0,70.0,Dairy products,0.044444444444444446,1.2777777777777777,0.044444444444444446,0.040740740740740744,0.0,0.12962962962962962
Cocoa,1 cup,252,235,8.0,11,10,0.0,26.0,Dairy products,0.031746031746031744,0.9325396825396826,0.04365079365079365,0.03968253968253968,0.0,0.10317460317460317
skim. milk,1 cup,250,128,18.0,4,3,1.0,13.0,Dairy products,0.072,0.512,0.016,0.012,0.004,0.052
(cornstarch),1 cup,248,275,9.0,10,9,0.0,40.0,Dairy products,0.036290322580645164,1.1088709677419355,0.04032258064516129,0.036290322580645164,0.0,0.16129032258064516
Custard,1 cup,248,285,13.0,14,11,0.0,28.0,Dairy products,0.05241935483870968,1.1491935483870968,0.056451612903225805,0.04435483870967742,0.0,0.11290322580645161
Ice cream,1 cup,188,300,6.0,18,16,0.0,29.0,Dairy products,0.031914893617021274,1.5957446808510638,0.09574468085106383,0.0851063829787234,0.0,0.15425531914893617
Ice milk,1 cup,190,275,9.0,10,9,0.0,32.0,Dairy products,0.04736842105263158,1.4473684210526316,0.05263157894736842,0.04736842105263158,0.0,0.16842105263157894
Cream or half-and-half,1/2 cup,120,170,4.0,15,13,0.0,5.0,Dairy products,0.03333333333333333,1.4166666666666667,0.125,0.10833333333333334,0.0,0.041666666666666664
or whipping,1/2 cup,119,430,2.0,44,27,1.0,3.0,Dairy products,0.01680672268907563,3.6134453781512605,0.3697478991596639,0.226890756302521,0.008403361344537815,0.025210084033613446
Cheese,1 cup,225,240,30.0,11,10,0.0,6.0,Dairy products,0.13333333333333333,1.0666666666666667,0.04888888888888889,0.044444444444444446,0.0,0.02666666666666667
uncreamed,1 cup,225,195,38.0,0,0,0.0,6.0,Dairy products,0.1688888888888889,0.8666666666666667,0.0,0.0,0.0,0.02666666666666667
Cheddar,1-in. cube,17,70,4.0,6,5,0.0,0.0,Dairy products,0.23529411764705882,4.117647058823529,0.35294117647058826,0.29411764705882354,0.0,0.0
Cheddar grated cup,1/2 cup,56,226,14.0,19,17,0.0,1.0,Dairy products,0.25,4.035714285714286,0.3392857142857143,0.30357142857142855,0.0,0.017857142857142856
Cream cheese,1 oz.,28,105,2.0,11,10,0.0,1.0,Dairy products,0.07142857142857142,3.75,0.39285714285714285,0.35714285714285715,0.0,0.03571428571428571
Processed cheese,1 oz.,28,105,7.0,9,8,0.0,0.0,Dairy products,0.25,3.75,0.32142857142857145,0.2857142857142857,0.0,0.0
Roquefort type,1 oz.,28,105,6.0,9,8,0.0,0.0,Dairy products,0.21428571428571427,3.75,0.32142857142857145,0.2857142857142857,0.0,0.0
Swiss,1 oz.,28,105,7.0,8,7,0.0,0.0,Dairy products,0.25,3.75,0.2857142857142857,0.25,0.0,0.0
Eggs raw,2,100,150,12.0,12,10,0.0,0.0,Dairy products,0.12,1.5,0.12,0.1,0.0,0.0
Eggs Scrambled or fried,2,128,220,13.0,16,14,0.0,1.0,Dairy products,0.1015625,1.71875,0.125,0.109375,0.0,0.0078125
Yolks,2,34,120,6.0,10,8,0.0,0.0,Fats Oils Shortenings,0.17647058823529413,3.5294117647058822,0.29411764705882354,0.23529411764705882,0.0,0.0
Butter,1T.,14,100,0.0,11,10,0.0,0.0,Fats Oils Shortenings,0.0,7.142857142857143,0.7857142857142857,0.7142857142857143,0.0,0.0
Hydrogenated cooking fat,1/2 cup,100,665,0.0,100,88,0.0,0.0,Fats Oils Shortenings,0.0,6.65,1.0,0.88,0.0,0.0
